sMAC,dMAC,typEth,proto,sPort,dPort,srcIP,dstIP,action
*,<dMAC>,0x0800,6,11095,*,18.209.96.101,*,forward
*,<dMAC>,0x0800,6,11095,*,18.210.177.39,*,forward
*,<dMAC>,0x0800,6,11095,*,35.174.82.237,*,forward
*,<dMAC>,0x0800,6,11095,*,158.126.127.18,*,forward
*,<dMAC>,0x0800,6,11095,*,34.237.131.21,*,forward
*,<dMAC>,0x0800,6,11095,*,54.88.60.177,*,forward
*,*,*,58,*,*,*,*,forward
*,*,*,0,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
*,*,0x888e,*,*,*,*,*,forward
